theta0,theta1,valid? (1 = True)
0.6255565175757914,-1.1549545331110505,1
0.6224231825862124,-1.1549394281233,1
0.6192732180183405,-1.1548941125554721,1
0.6161066840354971,-1.1548185845935066,1
0.6129236402108249,-1.154712841212878,1
0.6097241455192227,-1.1545768781769556,1
0.6065082583289159,-1.1544106900347018,1
0.6032760363926655,-1.1542142701177207,1
0.60002753683862,-1.1539876105366353,1
0.5967628161608011,-1.1537307021768068,1
0.5934819302092375,-1.153443534693384,1
0.5901849341797331,-1.1531260965056838,1
0.5868718826032806,-1.1527783747908984,1
0.5835428293351166,-1.152400355477118,1
0.5801978275434101,-1.1519920232356773,1
0.5768369296975991,-1.151553361472807,1
0.5734601875563594,-1.1510843523205923,1
0.5700676521552136,-1.1505849766272274,1
0.5666593737937723,-1.1500552139465618,1
0.5632354020226112,-1.1494950425269375,1
